name trainf1 testf1 trainacc testacc tn fp fn tp
k-NN 0.9131440807201692 0.900401490387452 0.9733481811432814 0.9696329254727477 748.4 11.6 15.7 123.3
DecisionTree 0.8741440901898578 0.8564589548921908 0.9619524870081664 0.957285873192436 745.7 14.3 24.1 114.9
RandomForest 0.8870922073470533 0.8544800606667705 0.9674090571640681 0.9590656284760846 753.5 6.5 30.3 108.7
MLP 0.9582675757304132 0.9094198732993852 0.9870081662954714 0.9724137931034484 749.7 10.3 14.5 124.5
AdaBoost 0.9123452889043872 0.8764361016716251 0.9730141054194507 0.9625139043381534 745.8 14.2 19.5 119.5
G-NaiveBayes 0.64608255743523 0.6294154807134735 0.8378990348923534 0.8289210233592881 617.7 142.3 11.5 127.5
QDA 0.26863753213367614 0.2678227360308285 0.15515961395694136 0.1546162402669633 0.0 760.0 0.0 139.0
LinearSVM 0.8930920387474629 0.8794774507546658 0.966815144766147 0.9630700778642938 744.7 15.3 17.9 121.1
RBFSVM 0.96711779316818 0.9090425903666025 0.9897921306607275 0.9727474972191323 752.2 7.8 16.7 122.3
