name trainf1 testf1 trainacc testacc tn fp fn tp
k-NN 0.8906565533672554 0.8659403426125595 0.9661841128433556 0.9589543937708566 742.8 17.2 19.7 119.3
DecisionTree 0.8390005736872881 0.826833070944604 0.949517446176689 0.9459399332591769 734.5 25.5 23.1 115.9
RandomForest 0.8750389737929851 0.83479620235139 0.9634001484780995 0.9527252502780866 748.6 11.4 31.1 107.9
MLP 0.921378013276436 0.8668944638452534 0.9753897550111358 0.9591768631813127 742.7 17.3 19.4 119.6
AdaBoost 0.8810345277639253 0.8428678288660866 0.9629918337045286 0.9517241379310345 739.2 20.8 22.6 116.4
G-NaiveBayes 0.8022896329543061 0.7917248415848982 0.9270230141054194 0.9240266963292548 705.9 54.1 14.2 124.8
QDA 0.7934928210681902 0.7852072157558224 0.8710467706013363 0.8686318131256952 654.7 105.3 12.8 126.2
LinearSVM 0.8571779773226424 0.8453169443121797 0.9536377134372682 0.9507230255839823 733.7 26.3 18.0 121.0
RBFSVM 0.9485308600766436 0.8721810562933442 0.9838158871566444 0.9610678531701892 744.6 15.4 19.6 119.4
