run bestTrain bestTest averageTrain averageTest
K1a 0.9914893617021276 0.967391304347826 0.9617021276595745 0.9504830917874396
K1b 0.9852941176470589 1 0.9477124183006536 0.9803921568627452
K1c1 0.9375 1 0.9270833333333334 0.9012345679012346
K1c2 1 1 0.9707602339181286 0.9166666666666666
K2a 1 0.3333333333333333 0.6296296296296295 0.4074074074074074
K2b 0.75 0.6666666666666666 0.6481481481481483 0.6666666666666666
K2c 0.8571428571428571 0.6666666666666666 0.6772486772486772 0.7777777777777777
K2d 0.9285714285714286 0.375 0.746031746031746 0.4583333333333333
R- 0.9822064056939501 0.9514563106796117 0.9387109529458283 0.9255663430420711
R2a 0.9764705882352941 0.9473684210526315 0.9568627450980391 0.9532163742690059
R2b 0.875 0.6470588235294118 0.7199074074074074 0.6862745098039216
R3 1 0 0.9166666666666666 0
